id,query
019ddda5-8f9b-73da-a970-f268e654360f,"Should I be worried about if my friend have contact with some lead paint at a old fence (paint is falling off) at a public low maintained park, possibly about 2 or 3 weeks ago, and then we hang out today, we have some casualty contact, and should I be worried about it? he used a camera when he was possibly ""exposed"", and when we hang out he used the same camera. In between he used that a couple times. I did not touch the camera at all but he touched it and then touched me."
019ddda5-8fe2-711e-8f2c-e9ff0705d699,"I heard that although lead paint is banned for indoor use in Canada, it's still commonly used in outdoor settings, especially like the road paint, road markers, especially those yellow ones. I just walked by some outdoor yellow paint, and then the paint is significantly chipping off, and there are some small particles beside those areas. I walked around the area. Should I be worried? Should I place my shoes in my pants outside my door? i saw many source confirming those paint are likely lead based."
019ddda5-90b6-72ff-bbb5-23dcfba2ebde,Should I be worried about radon exposure living on second floor in an apartment for a couple of weeks?
019ddda5-90df-73f3-81fa-00d40a03362c,Should I be worried about low sodium if I sweat a lot and drink a bunch of fresh water but I also just finished my lunch (fried chicken with gravy).
019ddda5-9191-77f6-9720-4e951c1ab61b,should i be worried about lead exposure for eating at a restaurant that cook Chinese preserved egg (which has low level of lead) if I do not consume the egg. will there be risk of cross contamination? Especially if my friend I am dinning with is having it.
019ddda5-9234-72ae-b37b-82b8524c8a94,"I just touched the surface my key touches and then touched my mouth I rinsed my mouth with water for a couple times, should I be worried? The key is made from brass and I saw news saying touching brass keys will expose you to &gt;10x of daily limit for lead."
019ddda5-92d1-754c-bd71-e1bfb9534118,I washed my bed blanket and I still smell some detergent on the bed blanket. Should I be worried about it irritates or damage my eyes if I like to use blanket to cover my eyes when sleep should I be worried the detergents get into my eyes?
019ddda5-9345-7339-8e6c-d297885c4339,Should I be worried about asbestoes exposure if my friend went to pulling parts from a junkyard for his car parts? I heard many car parts have asbestoes in it.
019ddda5-9425-77ef-833e-c3a54792a02f,How likely I get concussion by walking normal speed and hit my forehead by the door frame Do NOT be overly cautious
019ddda5-9649-7518-8913-d1bc7ceb0315,I feel a bit dizzy after eating at a restaurant using ethanol gal to cook food on table. I am worried about CO poisoning. The place has good ventilation and staffs are there working 8h. Should I be worried? I do not have other symptons and dizziness is common for me.
019ddda5-9732-760f-886f-127a6797beb4,I am worried about lead exposure. Last time I used freediving weights (lead blocks without coating) and after that I went to library. Now I am afraid to go to the library because I think there is lead everwhere in the building. Should I wipe down the table and chairs before I sit down and shower when I get home?
019ddda5-9d0c-70fe-baf3-f6b0831412b8,Could I get concussion if I slip in washroom and fall to the wall but my arm stopped me from falling to ground. The distance falled is within 40cm before my arm stopped. There was no hurt or bruse at the point of impact
019ddda5-9d50-73ae-8ef9-1b780c39dd8b,what is the risk of concussion if i hit my head on the door frame when i trying to get in a car? I was in a hurry so it was kind of fast
019ddda5-9d89-74d6-8e18-b990c60185ea,"could i get a concussion when i open the car door and the car is slightly tilted such that the door close back to my head, the distance is about 50cm. the door was not fully opened. i do feel dizzy, but that is common symtpons for me after car ride. There are no other symptons, not even lasting pain on skin"
019ddda5-9db3-7483-a8f4-1660f880a193,I was in the back of the car and there is a sharp turn and my body lean torward one side of the car and I hit my head on the door. The hit is not very hard but definitely I won’t say it’s a mild touch.
019ddda5-9edf-724d-b9df-9fbd6192e8d9,What is the risk of lead exposure from someone played with a used bullet and he touched my table i wiped the table but after a few days he touched my table again do I need to clean again? He did not touch the bullet after that
019ddda5-9f9e-764b-be9e-fd29f0845f4c,Dose newspaper or ad flyers paint has lead
019ddda5-a075-7179-9ef2-1cb62480cc1e,should I be worried about CO posioning if I was in a dining hall and I saw the flames they used is completely yellow. I stayed there for 5min
019ddda5-a0c3-7242-8586-9cdb601b468b,"I am worried about sun UV exposure, it is 5pm now and the UV Index is 4, do I need to wear sun screen if I am walking across campus for 5-10min?"
019ddda5-a0ea-7410-bd80-a62662eb382e,I didn’t know antidepressants will make my skin sensitive to sun. I exposures to sun without much protection for a summer but never got burned each day about 30min around late afternoon. Dose this increases my chance for skin cancer?
019ddda5-a110-7139-af5f-3b54dc97e7dd,Dose not wearing socks and having Callus on feet related to skin cancer. Why darken skin people usually have skin cancer on feet
019ddda5-a13a-7778-a7b9-002cf059e2f6,Will not wearing socks and feet keep scratching and cause very thick skin and infection cause skin cancer
019ddda5-a16d-712b-9c6a-8baf68e43345,When I ate cherry I found one that has white stuff on it. I didn't eat it and rinsed my mouth should I be worried about it containing other cherries I already ate or residues in my mouth? I will not eat the rest of them but what about those that it touches and I already ate?
019ddda5-a806-7220-b1e5-96897375aafe,Should I avoid driving to work if I took sleeping med the night before but feel fine now? It says do not drive if I took the med and slept less than 7h. I slet 6h50min last night.
019ddda5-acfe-70c9-ba14-903333f834c7,There is some random white powder appear on the top of my bag and I'm worried it will be something harmful. What do you think? I don't have any evidence suggesting that it would be something harmful because all the places I've been to is just more places on campus and in my home. Should I be worried? I am afraid it is lead paint or asbestos.
019ddda5-ae08-739e-81c6-3d00370b46c6,I am worried about a concussion because I was sitting and I slowly put my head on the wall behind me. I heard there is no safe limit for concussion. Should I keep monitoring the symptoms?
019ddda5-ae30-746c-8017-253b5d07a709,If my smart watch shows my blood oxygen during sleep gets to 80 but average is 93 should I be worried? I did a sleep study and the at home one shows 5 times of sleep apena per hour (mild SA) and the in lab one shows fine (the doctor told me it is fine but i do not know the exact number).
019ddda5-ae76-70a2-b372-4ea8ae79c8c5,Should I be worried if my watch says my blood oxygen is 89 but then go back to 92-95 after adjusted it? I do not have any health conditions that will effect my blood oxygen.
019ddda5-b1bf-732e-8e93-2ab03d49d820,If I have a mild jaw pain or tingling to neck it's not something emergency? They are mild and the jaw pain is worsen if I press a point.
019ddda5-b260-73bd-b815-24d68f1725a6,"When I took the shower, I smelled something weird in the water, and I still keep taking the shower, and there's some water splash on my face, but I just taking shower on like the half of my body, until the water have no smell, and then I keep showering for a while, there's still smell in the air, but there's no smell on the water, and I didn't feel any skin irritation or other symptoms, and my fine is still risk?"
