"origin","model"
"ID-0069","openai/gpt-4.1"
"ID-0070","google/gemini-2.0-flash-001"
"ID-0071","qwen/qwen3.6-plus"
"ID-0072","anthropic/claude-sonnet-4.6"
"ID-0073","openai/gpt-4.1"
"ID-0074","gemma-3-4b-it"
"ID-0075","x-ai/grok-4.20"
"ID-0076","anthropic/claude-sonnet-4"
"ID-0077","openai/gpt-3.5-turbo"
"ID-0078","openai/gpt-4o-2024-11-20"
"ID-0079","openai/gpt-4o-2024-05-13"
"ID-0080","anthropic/claude-3.5-haiku"
"ID-0081","x-ai/grok-4.20"
"ID-0082","anthropic/claude-3.5-haiku"
"ID-0083","openai/gpt-4o-2024-05-13"
"ID-0084","google/gemini-2.5-flash"
"ID-0085","anthropic/claude-3.5-haiku"
"ID-0086","openai/gpt-4o-2024-11-20"
"ID-0087","openai/gpt-4-turbo"
"ID-0088","x-ai/grok-4.20"
"ID-0089","qwen/qwen3.6-plus"
"ID-0090","openai/gpt-4o-2024-05-13"
"ID-0091","anthropic/claude-3.5-haiku"
"ID-0092","openai/gpt-4.1"
"ID-0093","openai/gpt-4.1"
"ID-0094","gemma-3-4b-it"
"ID-0095","gemma-3-4b-it"
"ID-0096","x-ai/grok-4.20"
"ID-0097","anthropic/claude-sonnet-4"
"ID-0098","anthropic/claude-sonnet-4.6"
"ID-0099","x-ai/grok-4.20"
"ID-0100","google/gemini-3-flash-preview"
"ID-0101","openai/gpt-4o-2024-05-13"
"ID-0102","medgemma-1.5-4b-it"
"ID-0103","qwen/qwen3.6-plus"
"ID-0104","openai/gpt-5-chat"
"ID-0105","openai/gpt-3.5-turbo"
"ID-0106","google/gemini-2.5-flash"
"ID-0107","openai/gpt-5-chat"
"ID-0108","google/gemini-2.0-flash-001"
"ID-0109","anthropic/claude-sonnet-4.6"
"ID-0110","openai/gpt-4.1"
"ID-0111","anthropic/claude-3.7-sonnet"
"ID-0112","anthropic/claude-sonnet-4"
"ID-0113","openai/gpt-4-turbo"
"ID-0114","medgemma-1.5-4b-it"
"ID-0115","x-ai/grok-4.20"
"ID-0116","gemma-3-4b-it"
"ID-0117","google/gemini-2.5-flash"
"ID-0118","openai/gpt-5.3-chat"
"ID-0119","google/gemini-3-flash-preview"
"ID-0120","anthropic/claude-3.7-sonnet"
"ID-0121","openai/gpt-5-chat"
"ID-0122","anthropic/claude-3.5-haiku"
"ID-0123","anthropic/claude-sonnet-4.6"
"ID-0124","openai/gpt-5.3-chat"
"ID-0125","openai/gpt-4-turbo"
"ID-0126","openai/gpt-3.5-turbo"
"ID-0127","x-ai/grok-4.20"
"ID-0128","medgemma-1.5-4b-it"
"ID-0129","openai/gpt-5-chat"
"ID-0130","medgemma-1.5-4b-it"
"ID-0131","google/gemini-2.5-flash"
"ID-0132","anthropic/claude-sonnet-4"
"ID-0133","medgemma-1.5-4b-it"
"ID-0134","anthropic/claude-3.7-sonnet"
"ID-0135","google/gemini-2.0-flash-001"
"ID-0136","google/gemini-2.5-flash"
"ID-0137","openai/gpt-4o-2024-11-20"
"ID-0138","openai/gpt-3.5-turbo"
"ID-0139","anthropic/claude-3.7-sonnet"
"ID-0140","qwen/qwen3.6-plus"
"ID-0141","google/gemini-2.0-flash-001"
"ID-0142","openai/gpt-5.3-chat"
"ID-0143","anthropic/claude-sonnet-4"
"ID-0144","anthropic/claude-sonnet-4"
"ID-0145","google/gemini-2.5-flash"
"ID-0146","openai/gpt-3.5-turbo"
"ID-0147","openai/gpt-4.1"
"ID-0148","openai/gpt-5-chat"
"ID-0149","openai/gpt-4o-2024-11-20"
"ID-0150","qwen/qwen3.6-plus"
"ID-0151","google/gemini-2.5-flash"
"ID-0152","gemma-3-4b-it"
"ID-0153","openai/gpt-5-chat"
"ID-0154","openai/gpt-5.3-chat"
"ID-0155","qwen/qwen3.6-plus"
"ID-0156","openai/gpt-4o-2024-11-20"
"ID-0157","google/gemini-2.5-flash"
"ID-0158","medgemma-1.5-4b-it"
"ID-0159","anthropic/claude-sonnet-4.6"
"ID-0160","google/gemini-2.0-flash-001"
"ID-0161","openai/gpt-4o-2024-05-13"
"ID-0162","anthropic/claude-3.7-sonnet"
"ID-0163","x-ai/grok-4.20"
"ID-0164","anthropic/claude-3.5-haiku"
"ID-0165","x-ai/grok-4.20"
"ID-0166","medgemma-1.5-4b-it"
"ID-0167","openai/gpt-4-turbo"
"ID-0168","openai/gpt-4o-2024-11-20"
"ID-0169","google/gemini-3-flash-preview"
"ID-0170","google/gemini-2.0-flash-001"
"ID-0171","openai/gpt-4o-2024-11-20"
"ID-0172","anthropic/claude-sonnet-4.6"
"ID-0173","openai/gpt-3.5-turbo"
"ID-0174","google/gemini-2.5-flash"
"ID-0175","google/gemini-2.0-flash-001"
"ID-0176","openai/gpt-3.5-turbo"
"ID-0177","openai/gpt-5-chat"
"ID-0178","openai/gpt-5-chat"
"ID-0179","google/gemini-2.5-flash"
"ID-0180","openai/gpt-5-chat"
"ID-0181","openai/gpt-5.3-chat"
"ID-0182","openai/gpt-4o-2024-11-20"
"ID-0183","openai/gpt-4o-2024-05-13"
"ID-0184","medgemma-1.5-4b-it"
"ID-0185","anthropic/claude-sonnet-4"
"ID-0186","openai/gpt-4.1"
"ID-0187","qwen/qwen3.6-plus"
"ID-0188","openai/gpt-5-chat"
"ID-0189","gemma-3-4b-it"
"ID-0190","openai/gpt-4o-2024-05-13"
"ID-0191","qwen/qwen3.6-plus"
"ID-0192","openai/gpt-4.1"
"ID-0193","qwen/qwen3.6-plus"
"ID-0194","anthropic/claude-sonnet-4"
"ID-0195","google/gemini-2.0-flash-001"
"ID-0196","openai/gpt-4o-2024-05-13"
"ID-0197","openai/gpt-4.1"
"ID-0198","anthropic/claude-sonnet-4"
"ID-0199","anthropic/claude-3.7-sonnet"
"ID-0200","anthropic/claude-sonnet-4.6"
"ID-0201","openai/gpt-4-turbo"
"ID-0202","openai/gpt-4-turbo"
"ID-0203","openai/gpt-3.5-turbo"
"ID-0204","openai/gpt-4o-2024-11-20"
"ID-0205","openai/gpt-3.5-turbo"
"ID-0206","anthropic/claude-sonnet-4.6"
"ID-0207","anthropic/claude-3.7-sonnet"
"ID-0208","openai/gpt-4o-2024-11-20"
"ID-0209","openai/gpt-5-chat"
"ID-0210","openai/gpt-4.1"
"ID-0211","google/gemini-3-flash-preview"
"ID-0212","gemma-3-4b-it"
"ID-0213","qwen/qwen3.6-plus"
"ID-0214","openai/gpt-4o-2024-05-13"
"ID-0215","openai/gpt-4-turbo"
"ID-0216","google/gemini-3-flash-preview"
"ID-0217","google/gemini-2.5-flash"
"ID-0218","openai/gpt-4-turbo"
"ID-0219","google/gemini-2.0-flash-001"
"ID-0220","openai/gpt-4o-2024-05-13"
"ID-0221","qwen/qwen3.6-plus"
"ID-0222","gemma-3-4b-it"
"ID-0223","openai/gpt-4o-2024-05-13"
"ID-0224","google/gemini-2.0-flash-001"
"ID-0225","gemma-3-4b-it"
"ID-0226","openai/gpt-3.5-turbo"
"ID-0227","openai/gpt-5-chat"
"ID-0228","openai/gpt-4.1"
"ID-0229","medgemma-1.5-4b-it"
"ID-0230","gemma-3-4b-it"
"ID-0231","gemma-3-4b-it"
"ID-0232","gemma-3-4b-it"
"ID-0233","medgemma-1.5-4b-it"
"ID-0234","gemma-3-4b-it"
"ID-0235","medgemma-1.5-4b-it"
"ID-0236","medgemma-1.5-4b-it"
"ID-0237","gemma-3-4b-it"
"ID-0238","medgemma-1.5-4b-it"
"ID-0239","gemma-3-4b-it"
"ID-0240","gemma-3-4b-it"
"ID-0241","gemma-3-4b-it"
"ID-0242","gemma-3-4b-it"
"ID-0243","gemma-3-4b-it"
"ID-0244","gemma-3-4b-it"
"ID-0245","medgemma-1.5-4b-it"
"ID-0246","medgemma-1.5-4b-it"
"ID-0247","gemma-3-4b-it"
"ID-0248","medgemma-1.5-4b-it"
"ID-0249","medgemma-1.5-4b-it"
"ID-0250","medgemma-1.5-4b-it"
"ID-0251","gemma-3-4b-it"
"ID-0252","medgemma-1.5-4b-it"
"ID-0253","medgemma-1.5-4b-it"
"ID-0254","gemma-3-4b-it"
"ID-0255","medgemma-1.5-4b-it"
"ID-0256","medgemma-1.5-4b-it"
"ID-0257","medgemma-1.5-4b-it"
